time/fps,train/learning_rate,train/n_updates,train/actor_loss,time/total_timesteps,time/time_elapsed,rollout/success_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/critic_loss
7,0.001,7046,1.5641820430755615,7147,962,0.99,5.66,-4.67,532,0.1127992570400238
7,0.001,7063,1.883501648902893,7164,965,0.99,5.57,-4.58,536,0.10942135006189346
7,0.001,7077,1.8867475986480713,7178,967,0.99,5.54,-4.55,540,0.1087392270565033
7,0.001,7098,1.7705347537994385,7199,971,1.0,5.07,-4.07,544,0.10860121995210648
7,0.001,7119,2.0216095447540283,7220,974,1.0,5.08,-4.08,548,0.07070755958557129
7,0.001,7133,1.789888858795166,7234,976,1.0,5.07,-4.07,552,0.09617111831903458
7,0.001,7151,1.4449968338012695,7252,979,1.0,4.68,-3.68,556,0.11118556559085846
7,0.001,7162,1.5628979206085205,7263,980,1.0,4.64,-3.64,560,0.10782703757286072
7,0.001,7196,1.1456835269927979,7297,985,1.0,4.82,-3.82,564,0.1002403274178505
7,0.001,7208,1.2649171352386475,7309,987,1.0,4.78,-3.78,568,0.12358583509922028
7,0.001,7229,1.9622362852096558,7330,990,1.0,4.75,-3.75,572,0.11314240843057632
7,0.001,7250,2.004854679107666,7351,993,1.0,4.81,-3.81,576,0.12972988188266754
7,0.001,7265,1.817060112953186,7366,996,1.0,4.76,-3.76,580,0.08512718230485916
7,0.001,7285,1.4787623882293701,7386,1000,1.0,4.7,-3.7,584,0.11167220771312714
7,0.001,7300,1.9352872371673584,7401,1003,1.0,4.61,-3.61,588,0.10723906755447388
7,0.001,7313,1.638556718826294,7414,1005,1.0,4.53,-3.53,592,0.12384968996047974
7,0.001,7332,1.5889356136322021,7433,1009,1.0,4.54,-3.54,596,0.0797528624534607
7,0.001,7354,1.3411483764648438,7455,1012,1.0,4.61,-3.61,600,0.10208895057439804
7,0.001,7372,1.7746899127960205,7473,1015,1.0,4.63,-3.63,604,0.09267351031303406
7,0.001,7390,1.525338053703308,7491,1018,1.0,4.65,-3.65,608,0.11079023778438568
7,0.001,7409,1.7438970804214478,7510,1022,1.0,4.59,-3.59,612,0.08174189925193787
7,0.001,7428,1.649622917175293,7529,1026,1.0,4.61,-3.61,616,0.11938802897930145
7,0.001,7449,1.8835316896438599,7550,1030,1.0,4.6,-3.6,620,0.09909939020872116
7,0.001,7467,1.2521833181381226,7568,1033,1.0,4.59,-3.59,624,0.11151409149169922
7,0.001,7482,1.4857876300811768,7583,1036,1.0,4.56,-3.56,628,0.11617466807365417
7,0.001,7516,1.872346043586731,7617,1041,1.0,4.7,-3.7,632,0.09545720368623734
7,0.001,7532,1.4981119632720947,7633,1044,1.0,4.69,-3.69,636,0.10439559817314148
7,0.001,7554,1.551292061805725,7655,1047,1.0,4.77,-3.77,640,0.10231611877679825
7,0.001,7574,1.867380142211914,7675,1051,1.0,4.76,-3.76,644,0.09765470027923584
7,0.001,7588,1.3014219999313354,7689,1053,1.0,4.69,-3.69,648,0.09737884253263474
7,0.001,7608,1.8526736497879028,7709,1056,1.0,4.75,-3.75,652,0.09970638155937195
7,0.001,7626,0.9084226489067078,7727,1059,1.0,4.75,-3.75,656,0.11218689382076263
7,0.001,7647,1.3802679777145386,7748,1063,1.0,4.85,-3.85,660,0.11365844309329987
