train/learning_rate,time/total_timesteps,time/episodes,time/fps,rollout/success_rate,train/critic_loss,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/actor_loss
0.001,6123,888,4,1.0,0.00175236735958606,6022,4.37,-0.45182244,1403,0.2189948707818985
0.001,6139,892,4,1.0,0.0013526249676942825,6038,4.3,-0.43855667000000004,1407,0.16918455064296722
0.001,6156,896,4,1.0,0.0013895429437980056,6055,4.3,-0.4346953200000001,1411,0.1895723193883896
0.001,6171,900,4,1.0,0.0011190505465492606,6070,4.23,-0.4239533100000001,1414,0.14399662613868713
0.001,6187,904,4,1.0,0.0010153497569262981,6086,4.25,-0.42579648999999997,1418,0.189651757478714
0.001,6200,908,4,1.0,0.0015314286574721336,6099,4.22,-0.42405153,1421,0.19073989987373352
0.001,6218,912,4,1.0,0.0018612525891512632,6117,4.3,-0.43779631,1425,0.19306272268295288
0.001,6230,916,4,1.0,0.001372008235193789,6129,4.23,-0.43065013,1428,0.1804797500371933
0.001,6249,920,4,1.0,0.0016049835830926895,6148,4.22,-0.43137978,1434,0.1605611890554428
0.001,6267,924,4,1.0,0.0013040679041296244,6166,4.06,-0.41424412,1437,0.20210792124271393
0.001,6285,928,4,1.0,0.001150934025645256,6184,4.01,-0.40765667,1439,0.17362496256828308
0.001,6303,932,4,1.0,0.0011430527083575726,6202,4.05,-0.41369003000000004,1444,0.1759422868490219
0.001,6322,936,4,1.0,0.0011479425011202693,6221,4.1,-0.41809601,1447,0.1776800900697708
0.001,6354,940,4,1.0,0.001046391436830163,6253,4.23,-0.43060851000000006,1454,0.17494848370552063
0.001,6385,944,4,1.0,0.0008463567937724292,6284,4.42,-0.44883235,1461,0.16822439432144165
0.001,6400,948,4,1.0,0.0013870415277779102,6299,4.31,-0.43724428,1464,0.15635257959365845
0.001,6416,952,4,1.0,0.0009988162200897932,6315,4.28,-0.43228004999999997,1470,0.1956561654806137
0.001,6437,956,4,1.0,0.0009656344191171229,6336,4.35,-0.4430270800000001,1477,0.15799188613891602
0.001,6449,960,4,1.0,0.0011958058457821608,6348,4.34,-0.44158976000000005,1480,0.20456565916538239
0.001,6466,964,4,1.0,0.0022820509038865566,6365,4.36,-0.4423129599999999,1484,0.18184202909469604
0.001,6479,968,4,1.0,0.002061045728623867,6378,4.38,-0.44656406000000004,1486,0.21217502653598785
0.001,6497,972,4,1.0,0.0013713808730244637,6396,4.41,-0.44993655000000005,1488,0.18382702767848969
0.001,6510,976,4,1.0,0.0011403202079236507,6409,4.38,-0.4456861,1491,0.22319941222667694
0.001,6525,980,4,1.0,0.0011841155355796218,6424,4.36,-0.44147445999999996,1493,0.2035791128873825
0.001,6543,984,4,1.0,0.0012959848390892148,6442,4.36,-0.44250229,1496,0.16834020614624023
0.001,6559,988,4,1.0,0.0011534466175362468,6458,4.36,-0.43962365,1500,0.20634645223617554
0.001,6574,992,4,1.0,0.0011175430845469236,6473,4.35,-0.43813964,1504,0.18181069195270538
0.001,6590,996,4,1.0,0.000980313983745873,6489,4.34,-0.43796280000000004,1508,0.1728757619857788
0.001,6604,1000,4,1.0,0.0009598244214430451,6503,4.33,-0.43942687999999996,1512,0.21909520030021667
0.001,6625,1004,4,1.0,0.001338447560556233,6524,4.38,-0.44811966999999997,1515,0.1757436990737915
0.001,6688,1008,4,0.99,0.0008401890518143773,6587,4.88,-0.48451515,1535,0.178299680352211
0.001,6706,1012,4,0.99,0.0010505110258236527,6605,4.88,-0.48568948999999995,1538,0.1653270572423935
0.001,6724,1016,4,0.99,0.0011111986823379993,6623,4.94,-0.4912567100000001,1542,0.15290376543998718
0.001,6741,1020,4,0.99,0.0014688262017443776,6640,4.92,-0.48598028,1549,0.23137995600700378
0.001,6759,1024,4,0.99,0.001192075782455504,6658,4.92,-0.48626289,1554,0.16093426942825317
0.001,6778,1028,4,0.99,0.0009723284747451544,6677,4.93,-0.48255757999999993,1559,0.17125427722930908
0.001,6788,1032,4,0.99,0.0010739888530224562,6687,4.85,-0.4729003599999999,1562,0.2026873379945755
0.001,6807,1036,4,0.99,0.0014923018170520663,6706,4.85,-0.47166174999999994,1567,0.2097412496805191
0.001,6824,1040,4,0.99,0.0013193623162806034,6723,4.7,-0.45799691000000003,1572,0.1419912874698639
