rollout/ep_len_mean,rollout/success_rate,train/critic_loss,time/fps,train/n_updates,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/learning_rate,train/actor_loss
5.37,0.99,0.0005915604415349662,8,5444,640,5545,596,-0.5406046,0.001,0.31561797857284546
5.35,0.99,0.000589453149586916,8,5462,642,5563,600,-0.53838169,0.001,0.16525691747665405
5.38,0.99,0.000560310494620353,8,5481,644,5582,604,-0.54512061,0.001,0.20286624133586884
5.36,0.99,0.000497130211442709,8,5500,646,5601,608,-0.5463496,0.001,0.2608102262020111
5.34,0.99,0.0009631211869418621,8,5528,650,5629,612,-0.5466948,0.001,0.2845838963985443
5.27,0.99,0.0007712037186138332,8,5552,652,5653,616,-0.54214058,0.001,0.2587369382381439
5.29,0.99,0.0006435728282667696,8,5572,655,5673,620,-0.55258187,0.001,0.22574041783809662
5.21,0.99,0.0007003515493124723,8,5586,656,5687,624,-0.5421979499999999,0.001,0.2759283483028412
5.09,0.99,0.0008130047935992479,8,5599,660,5700,628,-0.53001317,0.001,0.3222924470901489
5.08,0.99,0.0009291615569964051,8,5615,664,5716,632,-0.5290373399999999,0.001,0.25208956003189087
5.07,0.99,0.000661746074911207,8,5633,669,5734,636,-0.52654984,0.001,0.2557308077812195
5.03,0.99,0.0004952506278641522,8,5649,674,5750,640,-0.5238778000000001,0.001,0.17825298011302948
4.99,0.99,0.0007260488346219063,8,5664,676,5765,644,-0.51878939,0.001,0.2696485221385956
4.95,0.99,0.0004162502591498196,8,5677,678,5778,648,-0.5105893199999999,0.001,0.3422374725341797
4.93,0.99,0.0006077183643355966,8,5691,679,5792,652,-0.5051182,0.001,0.17696021497249603
4.95,0.99,0.0005531097413040698,8,5709,683,5810,656,-0.50625836,0.001,0.15366511046886444
4.91,0.99,0.0008603546884842217,8,5724,685,5825,660,-0.50306646,0.001,0.20115028321743011
4.93,0.99,0.0009243866079486907,8,5740,688,5841,664,-0.50680038,0.001,0.2796390950679779
4.89,0.99,0.0007270001224242151,8,5754,691,5855,668,-0.49942646999999996,0.001,0.18613971769809723
4.39,1.0,0.0021679613273590803,8,5770,692,5871,672,-0.46238545999999997,0.001,0.3679593801498413
4.37,1.0,0.0009110437240451574,8,5787,694,5888,676,-0.45850468,0.001,0.21025943756103516
4.38,1.0,0.0009069974767044187,8,5808,698,5909,680,-0.45654812000000006,0.001,0.25975051522254944
4.47,1.0,0.0025681534316390753,8,5829,701,5930,684,-0.46646564999999995,0.001,0.3064614236354828
4.42,1.0,0.0010430887341499329,8,5844,702,5945,688,-0.45932083,0.001,0.21964678168296814
4.41,1.0,0.0018840001430362463,8,5867,706,5968,692,-0.45960219,0.001,0.28413718938827515
4.36,1.0,0.0018554672133177519,8,5880,707,5981,696,-0.44819921,0.001,0.21094480156898499
4.36,1.0,0.0005648795049637556,8,5898,710,5999,700,-0.44714246,0.001,0.1961594671010971
4.36,1.0,0.000543050526175648,8,5917,712,6018,704,-0.45020762000000003,0.001,0.21038886904716492
4.37,1.0,0.0006319545209407806,8,5937,715,6038,708,-0.44808294,0.001,0.20091168582439423
4.27,1.0,0.000546875293366611,8,5955,717,6056,712,-0.43913837000000006,0.001,0.1778668910264969
4.23,1.0,0.00038707174826413393,8,5975,720,6076,716,-0.43028126000000005,0.001,0.19995257258415222
4.2,1.0,0.0005013388581573963,8,5992,722,6093,720,-0.42111246999999996,0.001,0.1380031704902649
4.23,1.0,0.0005970729980617762,8,6009,724,6110,724,-0.42792964,0.001,0.20168516039848328
4.31,1.0,0.0004196027584839612,8,6030,726,6131,728,-0.43908423999999996,0.001,0.1444413959980011
4.32,1.0,0.0004126074491068721,8,6047,727,6148,732,-0.4424204100000001,0.001,0.13401907682418823
4.34,1.0,0.00037059278110973537,8,6067,729,6168,736,-0.4431975600000001,0.001,0.2126542329788208
4.33,1.0,0.0003834512026514858,8,6082,730,6183,740,-0.44029250999999997,0.001,0.26798582077026367
4.38,1.0,0.0004938035272061825,8,6102,732,6203,744,-0.44349309000000003,0.001,0.23396551609039307
4.46,1.0,0.0007290681824088097,8,6123,735,6224,748,-0.45528655,0.001,0.24434946477413177
4.53,1.0,0.00042228755773976445,8,6144,738,6245,752,-0.46127695999999996,0.001,0.17938458919525146
4.47,1.0,0.0003669057914521545,8,6156,739,6257,756,-0.45376793,0.001,0.24520796537399292
4.46,1.0,0.0003328232269268483,8,6170,740,6271,760,-0.45372314,0.001,0.25135064125061035
4.47,1.0,0.0003220940998289734,8,6187,742,6288,764,-0.45676968,0.001,0.19311153888702393
4.49,1.0,0.0004250597266945988,8,6203,743,6304,768,-0.46016152,0.001,0.17659896612167358
4.49,1.0,0.000878394057508558,8,6219,745,6320,772,-0.46008376999999995,0.001,0.21519705653190613
4.45,1.0,0.0010529047576710582,8,6232,746,6333,776,-0.45680827999999996,0.001,0.2998894155025482
4.77,1.0,0.001239313860423863,8,6285,754,6386,780,-0.47844407999999994,0.001,0.2018112689256668
4.73,1.0,0.0005476142978295684,8,6302,756,6403,784,-0.47589138,0.001,0.2149297595024109
4.75,1.0,0.0006361659034155309,8,6319,758,6420,788,-0.48128807,0.001,0.18914705514907837
4.77,1.0,0.0005967436009086668,8,6344,762,6445,792,-0.48367442000000005,0.001,0.20846110582351685
4.88,1.0,0.0006230748258531094,8,6368,770,6469,796,-0.49722239,0.001,0.23190119862556458
4.86,1.0,0.0006743455887772143,8,6384,773,6485,800,-0.49686901999999994,0.001,0.1912248134613037
4.81,1.0,0.0003970373363699764,8,6398,776,6499,804,-0.48569194000000004,0.001,0.17332077026367188
