time/total_timesteps,train/learning_rate,time/fps,train/critic_loss,time/episodes,train/ent_coef,rollout/ep_rew_mean,rollout/success_rate,train/n_updates,rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/ent_coef_loss
8043,0.0003,18,0.2621987462043762,440,0.10381913185119629,-5.23,0.99,7942,6.22,430,-2.1989169120788574,-6.816629409790039
8064,0.0003,18,0.22366774082183838,444,0.10326620191335678,-5.23,0.99,7963,6.22,431,-2.4122228622436523,-7.042287826538086
8080,0.0003,18,0.24059414863586426,448,0.10284896939992905,-5.15,0.99,7979,6.14,432,-2.2725095748901367,-6.7899041175842285
8124,0.0003,18,0.2923758625984192,452,0.10170426964759827,-5.44,0.99,8023,6.43,436,-2.0321803092956543,-6.5850911140441895
8142,0.0003,18,0.25153136253356934,456,0.10123933106660843,-5.42,0.99,8041,6.41,437,-1.7382856607437134,-6.2012858390808105
8153,0.0003,18,0.21389634907245636,460,0.10095760971307755,-5.13,0.99,8052,6.12,437,-2.793637990951538,-6.060971736907959
8169,0.0003,18,0.23505204916000366,464,0.10054802149534225,-5.02,0.99,8068,6.01,438,-2.089885711669922,-6.8938398361206055
8181,0.0003,18,0.27985477447509766,468,0.10023821890354156,-4.54,1.0,8080,5.54,439,-2.2464590072631836,-6.477828502655029
8195,0.0003,18,0.2723037600517273,472,0.09988459944725037,-4.55,1.0,8094,5.55,440,-2.075223684310913,-6.802158355712891
8207,0.0003,18,0.26082590222358704,476,0.09958446025848389,-4.51,1.0,8106,5.51,440,-2.4104270935058594,-6.627935886383057
8226,0.0003,18,0.2768302857875824,480,0.09910686314105988,-4.53,1.0,8125,5.53,441,-2.2470664978027344,-6.554633617401123
8242,0.0003,18,0.2523745894432068,484,0.09870563447475433,-4.28,1.0,8141,5.28,442,-1.527522087097168,-6.601030349731445
8252,0.0003,18,0.3188721537590027,488,0.09846031665802002,-4.17,1.0,8151,5.17,442,-1.9878246784210205,-6.405698776245117
8268,0.0003,18,0.2467794418334961,492,0.09807138890028,-4.11,1.0,8167,5.11,443,-1.967177391052246,-6.478096961975098
8281,0.0003,18,0.33013787865638733,496,0.09775108844041824,-3.56,1.0,8180,4.56,444,-1.8646235466003418,-6.468619346618652
8302,0.0003,18,0.3268532156944275,500,0.09722857177257538,-3.6,1.0,8201,4.6,445,-1.6550843715667725,-6.266089916229248
8320,0.0003,18,0.2868320047855377,504,0.09678518772125244,-3.58,1.0,8219,4.58,446,-2.1431660652160645,-6.2776570320129395
8336,0.0003,18,0.2451777458190918,508,0.0963975340127945,-3.51,1.0,8235,4.51,447,-1.490867018699646,-6.567302703857422
8351,0.0003,18,0.25779780745506287,512,0.09602595120668411,-3.44,1.0,8250,4.44,447,-1.8486076593399048,-6.644730567932129
8369,0.0003,18,0.2567915916442871,516,0.09559103101491928,-3.47,1.0,8268,4.47,448,-1.7779462337493896,-6.736823558807373
8388,0.0003,18,0.2907920181751251,520,0.09514501690864563,-3.26,1.0,8287,4.26,449,-1.79929780960083,-5.791481018066406
8407,0.0003,18,0.23242756724357605,524,0.09470304101705551,-3.27,1.0,8306,4.27,450,-1.3524470329284668,-5.87736701965332
8431,0.0003,18,0.26739180088043213,528,0.09412998706102371,-3.32,1.0,8330,4.32,452,-1.9650970697402954,-6.58890438079834
8446,0.0003,18,0.29936134815216064,532,0.09377557784318924,-3.34,1.0,8345,4.34,453,-1.8446872234344482,-6.298519134521484
8460,0.0003,18,0.2914971113204956,536,0.0934537947177887,-3.36,1.0,8359,4.36,455,-2.117433547973633,-6.267680644989014
8474,0.0003,18,0.23112234473228455,540,0.09313489496707916,-3.31,1.0,8373,4.31,455,-1.5148948431015015,-6.304965972900391
8487,0.0003,18,0.28042322397232056,544,0.09283322095870972,-3.23,1.0,8386,4.23,456,-1.9690313339233398,-6.582308769226074
8508,0.0003,18,0.2268037647008896,548,0.09234573692083359,-3.28,1.0,8407,4.28,458,-1.3604004383087158,-6.416754722595215
8526,0.0003,18,0.3534124493598938,552,0.0919359028339386,-3.02,1.0,8425,4.02,458,-2.0250754356384277,-6.121306896209717
8543,0.0003,18,0.2870442867279053,556,0.09155276417732239,-3.01,1.0,8442,4.01,459,-1.7546254396438599,-5.917341709136963
8559,0.0003,18,0.27404579520225525,560,0.09119615703821182,-3.06,1.0,8458,4.06,460,-1.5476630926132202,-6.27338981628418
8573,0.0003,18,0.28120580315589905,564,0.09088268876075745,-3.04,1.0,8472,4.04,461,-1.560768723487854,-6.293993949890137
8588,0.0003,18,0.2767367959022522,568,0.09054438769817352,-3.07,1.0,8487,4.07,461,-1.6875487565994263,-6.047863006591797
8606,0.0003,18,0.2656364440917969,572,0.09013992547988892,-3.11,1.0,8505,4.11,463,-1.6095547676086426,-6.009798049926758
8624,0.0003,18,0.3480880558490753,576,0.08974531292915344,-3.17,1.0,8523,4.17,464,-1.2846310138702393,-6.675038814544678
8647,0.0003,18,0.23079296946525574,580,0.08923925459384918,-3.21,1.0,8546,4.21,466,-1.2632192373275757,-6.231288433074951
8665,0.0003,18,0.25050288438796997,584,0.0888473317027092,-3.23,1.0,8564,4.23,468,-1.4970991611480713,-6.30558443069458
8681,0.0003,18,0.34635108709335327,588,0.08849740773439407,-3.29,1.0,8580,4.29,468,-1.4851908683776855,-6.111776351928711
8699,0.0003,18,0.25497007369995117,592,0.08811050653457642,-3.31,1.0,8598,4.31,469,-2.1184043884277344,-6.468047142028809
8710,0.0003,18,0.2373373955488205,596,0.08787514269351959,-3.29,1.0,8609,4.29,470,-1.7629008293151855,-6.100069999694824
8729,0.0003,18,0.2561044692993164,600,0.0874766856431961,-3.27,1.0,8628,4.27,471,-1.765029788017273,-6.519485950469971
8743,0.0003,18,0.2516077756881714,604,0.08718383312225342,-3.23,1.0,8642,4.23,471,-1.376049518585205,-5.92887544631958
8762,0.0003,18,0.2828378677368164,608,0.08679144084453583,-3.26,1.0,8661,4.26,472,-1.6189961433410645,-5.941222190856934
8774,0.0003,18,0.2614709138870239,612,0.08654098957777023,-3.23,1.0,8673,4.23,473,-1.9747588634490967,-6.441824913024902
8788,0.0003,18,0.29103249311447144,616,0.0862482488155365,-3.19,1.0,8687,4.19,474,-1.307981252670288,-6.0389723777771
8799,0.0003,18,0.27638211846351624,620,0.08601847290992737,-3.11,1.0,8698,4.11,474,-1.154253602027893,-6.161863327026367
8810,0.0003,18,0.258137971162796,624,0.08579074591398239,-3.03,1.0,8709,4.03,475,-1.3098233938217163,-5.513026714324951
8829,0.0003,18,0.247110977768898,628,0.08540228009223938,-2.98,1.0,8728,3.98,476,-1.317014217376709,-5.976597785949707
8840,0.0003,18,0.2713974416255951,632,0.08518119901418686,-2.94,1.0,8739,3.94,477,-1.574286699295044,-6.39009428024292
8852,0.0003,18,0.2507849633693695,636,0.08493312448263168,-2.92,1.0,8751,3.92,477,-2.097489356994629,-6.193068981170654
8866,0.0003,18,0.3079248368740082,640,0.08465097099542618,-2.92,1.0,8765,3.92,478,-1.721613883972168,-5.506225109100342
8878,0.0003,18,0.2698110342025757,644,0.08441440016031265,-2.91,1.0,8777,3.91,478,-0.9293729662895203,-5.587327003479004
8892,0.0003,18,0.32635390758514404,648,0.08413535356521606,-2.84,1.0,8791,3.84,479,-1.3629151582717896,-5.868610858917236
8908,0.0003,18,0.25043249130249023,652,0.08381690829992294,-2.82,1.0,8807,3.82,479,-1.2529113292694092,-5.730544090270996
8921,0.0003,18,0.26954174041748047,656,0.08356005698442459,-2.78,1.0,8820,3.78,480,-1.207453727722168,-6.1235671043396
8935,0.0003,18,0.2536934018135071,660,0.08327948302030563,-2.76,1.0,8834,3.76,481,-1.435746431350708,-5.998149871826172
8953,0.0003,18,0.23854604363441467,664,0.08291759341955185,-2.8,1.0,8852,3.8,481,-1.3980531692504883,-5.649397373199463
8968,0.0003,18,0.21409305930137634,668,0.08262299001216888,-2.8,1.0,8867,3.8,482,-1.410058617591858,-6.033100605010986
8987,0.0003,18,0.24432708323001862,672,0.0822463184595108,-2.81,1.0,8886,3.81,483,-1.7238088846206665,-6.2207932472229
9000,0.0003,18,0.2734503448009491,676,0.08199017494916916,-2.76,1.0,8899,3.76,483,-1.3126287460327148,-5.441277980804443
9014,0.0003,18,0.2674790620803833,680,0.08172432333230972,-2.67,1.0,8913,3.67,484,-1.1331769227981567,-5.571528434753418
9025,0.0003,18,0.26274216175079346,684,0.08151561766862869,-2.6,1.0,8924,3.6,485,-1.4303308725357056,-6.08460807800293
9038,0.0003,18,0.23788902163505554,688,0.08126424998044968,-2.57,1.0,8937,3.57,485,-1.0763746500015259,-5.770442008972168
9048,0.0003,18,0.28973180055618286,692,0.08107271790504456,-2.49,1.0,8947,3.49,486,-1.3413646221160889,-6.156485557556152
9062,0.0003,18,0.2567617893218994,696,0.0808093249797821,-2.52,1.0,8961,3.52,487,-1.1156622171401978,-5.635322570800781
9072,0.0003,18,0.24967503547668457,700,0.08061888813972473,-2.43,1.0,8971,3.43,487,-1.2630845308303833,-5.276176929473877
9088,0.0003,18,0.27806800603866577,704,0.0803188905119896,-2.45,1.0,8987,3.45,488,-0.9203623533248901,-4.940506458282471
9103,0.0003,18,0.2864513397216797,708,0.08004482835531235,-2.41,1.0,9002,3.41,489,-1.4676761627197266,-5.948681354522705
9117,0.0003,18,0.291365385055542,712,0.07978492975234985,-2.43,1.0,9016,3.43,489,-0.8741859197616577,-5.439033508300781
9133,0.0003,18,0.28411930799484253,716,0.07949284464120865,-2.45,1.0,9032,3.45,490,-1.0154328346252441,-5.716424942016602
