train/learning_rate,rollout/success_rate,time/time_elapsed,train/actor_loss,train/n_updates,rollout/ep_len_mean,time/episodes,time/fps,train/critic_loss,time/total_timesteps,rollout/ep_rew_mean
0.001,0.98,1641,3.09687876701355,7990,5.36,616,4,0.22276949882507324,8091,-4.38
0.001,0.98,1645,3.187272310256958,8004,5.32,620,4,0.3813682198524475,8105,-4.34
0.001,0.98,1655,2.9835317134857178,8055,5.64,624,4,0.2942368984222412,8156,-4.638
0.001,0.98,1659,3.0850424766540527,8078,5.7,628,4,0.3185111880302429,8179,-4.698
0.001,0.99,1662,3.0920791625976562,8098,5.23,632,4,0.3399145007133484,8199,-4.218
0.001,0.99,1667,3.168879270553589,8117,5.26,636,4,0.3904249668121338,8218,-4.248
0.001,0.99,1670,3.4572083950042725,8139,5.28,640,4,0.23320850729942322,8240,-4.268
0.001,0.99,1674,3.189281940460205,8160,5.33,644,4,0.29076433181762695,8261,-4.3180000000000005
0.001,0.99,1676,2.8982908725738525,8171,5.27,648,4,0.42148107290267944,8272,-4.258
0.001,0.99,1679,2.841613531112671,8191,5.21,652,4,0.3197965621948242,8292,-4.198
0.001,0.99,1682,3.2929821014404297,8209,5.23,656,4,0.3193041682243347,8310,-4.218
0.001,0.99,1684,3.3513331413269043,8220,5.21,660,4,0.2976634204387665,8321,-4.198
0.001,0.99,1687,3.435542345046997,8238,5.22,664,4,0.31439727544784546,8339,-4.208
0.001,0.99,1690,3.3343775272369385,8257,5.25,668,4,0.2871623933315277,8358,-4.238
0.001,0.99,1693,2.8534798622131348,8280,5.32,672,4,0.30637097358703613,8381,-4.308
0.001,0.99,1698,3.207730770111084,8298,5.33,676,4,0.3559423089027405,8399,-4.3180000000000005
0.001,0.99,1703,3.1950840950012207,8316,5.36,680,4,0.2715696096420288,8417,-4.348
0.001,0.99,1707,2.8924849033355713,8334,5.33,684,4,0.3181167244911194,8435,-4.3180000000000005
0.001,0.99,1713,3.210874080657959,8355,5.35,688,4,0.2759140431880951,8456,-4.338
0.001,0.99,1719,2.936072826385498,8370,5.34,692,4,0.2841225266456604,8471,-4.328
0.001,0.99,1723,2.9705493450164795,8388,5.38,696,4,0.35322731733322144,8489,-4.368
0.001,1.0,1728,2.9128856658935547,8410,4.99,700,4,0.2660391330718994,8511,-3.968
0.001,1.0,1733,3.055213451385498,8434,5.09,704,4,0.2901468873023987,8535,-4.0680000000000005
0.001,1.0,1737,3.245981216430664,8452,5.07,708,4,0.3337042033672333,8553,-4.048
0.001,1.0,1740,2.377591371536255,8469,5.01,712,4,0.2485535889863968,8570,-3.988
0.001,1.0,1743,3.047368288040161,8482,4.92,716,4,0.3197512924671173,8583,-3.898
0.001,1.0,1746,2.950033664703369,8498,4.94,720,4,0.24931931495666504,8599,-3.918
0.001,1.0,1750,2.4696946144104004,8513,4.58,724,4,0.2384592443704605,8614,-3.58
0.001,1.0,1753,3.2068896293640137,8529,4.51,728,4,0.2761824429035187,8630,-3.51
0.001,1.0,1755,2.65193247795105,8542,4.44,732,4,0.3299402594566345,8643,-3.44
0.001,1.0,1760,3.5117976665496826,8561,4.44,736,4,0.24064067006111145,8662,-3.44
0.001,1.0,1765,3.20223331451416,8592,4.53,740,4,0.3524734377861023,8693,-3.53
0.001,1.0,1767,2.8841521739959717,8601,4.41,744,4,0.33959078788757324,8702,-3.41
0.001,1.0,1771,3.046416997909546,8617,4.46,748,4,0.2605651617050171,8718,-3.46
0.001,1.0,1774,3.067826271057129,8636,4.45,752,4,0.25769615173339844,8737,-3.45
0.001,1.0,1780,2.849921941757202,8659,4.5,756,4,0.217391699552536,8760,-3.5
0.001,1.0,1784,3.0133094787597656,8677,4.57,760,4,0.2483692467212677,8778,-3.57
0.001,1.0,1789,3.0037827491760254,8694,4.56,764,4,0.2606711685657501,8795,-3.56
0.001,1.0,1798,2.9458327293395996,8716,4.59,768,4,0.33238905668258667,8817,-3.59
0.001,1.0,1802,3.3617522716522217,8736,4.56,772,4,0.25888288021087646,8837,-3.56
0.001,1.0,1806,3.110063314437866,8751,4.53,776,4,0.25642386078834534,8852,-3.53
0.001,1.0,1810,2.890645980834961,8767,4.51,780,4,0.38849401473999023,8868,-3.51
0.001,1.0,1813,2.9042835235595703,8782,4.48,784,4,0.3080209493637085,8883,-3.48
0.001,1.0,1817,2.9114179611206055,8797,4.42,788,4,0.2625998258590698,8898,-3.42
0.001,1.0,1822,2.638275384902954,8815,4.45,792,4,0.2848775386810303,8916,-3.45
0.001,1.0,1824,2.468445062637329,8831,4.43,796,4,0.2228931188583374,8932,-3.43
0.001,1.0,1827,2.8754940032958984,8849,4.39,800,4,0.25054430961608887,8950,-3.39
0.001,1.0,1831,3.337207555770874,8867,4.33,804,4,0.2762033939361572,8968,-3.33
0.001,1.0,1837,2.9861536026000977,8889,4.37,808,4,0.27056121826171875,8990,-3.37
0.001,1.0,1840,2.9460744857788086,8906,4.37,812,4,0.30509233474731445,9007,-3.37
0.001,1.0,1846,2.7158055305480957,8931,4.49,816,4,0.23605632781982422,9032,-3.49
0.001,1.0,1849,3.0248425006866455,8946,4.48,820,4,0.24831588566303253,9047,-3.48
0.001,1.0,1854,2.9240615367889404,8967,4.54,824,4,0.2836683392524719,9068,-3.54
0.001,1.0,1865,2.7253427505493164,8984,4.55,828,4,0.2726297676563263,9085,-3.55
0.001,1.0,1871,2.675446033477783,8997,4.55,832,4,0.27411022782325745,9098,-3.55
0.001,1.0,1877,2.726541519165039,9013,4.52,836,4,0.25537556409835815,9114,-3.52
0.001,1.0,1883,3.2700021266937256,9034,4.42,840,4,0.2517213821411133,9135,-3.42
0.001,1.0,1886,3.2984211444854736,9050,4.49,844,4,0.2815941870212555,9151,-3.49
0.001,1.0,1889,2.4833579063415527,9070,4.53,848,4,0.2952349781990051,9171,-3.53
0.001,1.0,1891,2.939201593399048,9088,4.52,852,4,0.1971895396709442,9189,-3.52
0.001,1.0,1895,2.8246943950653076,9112,4.53,856,4,0.2876628041267395,9213,-3.53
0.001,1.0,1898,2.7571938037872314,9127,4.5,860,4,0.2345518171787262,9228,-3.5
0.001,1.0,1906,2.509096145629883,9145,4.51,864,4,0.29584425687789917,9246,-3.51
0.001,1.0,1908,2.600680112838745,9157,4.41,868,4,0.33635565638542175,9258,-3.41
0.001,0.99,1920,3.227997064590454,9222,4.86,872,4,0.25505968928337097,9323,-3.87
0.001,0.99,1923,2.8720850944519043,9239,4.88,876,4,0.27847820520401,9340,-3.89
0.001,0.99,1926,3.0589795112609863,9257,4.9,880,4,0.23548972606658936,9358,-3.91
0.001,0.99,1929,2.553439140319824,9270,4.88,884,4,0.2561251223087311,9371,-3.89
0.001,0.99,1932,2.8426272869110107,9284,4.87,888,4,0.23222346603870392,9385,-3.88
0.001,0.99,1936,2.7975547313690186,9306,4.91,892,4,0.3042535185813904,9407,-3.92
0.001,0.99,1940,2.59637188911438,9320,4.89,896,4,0.23513101041316986,9421,-3.9
0.001,0.99,1948,3.15856671333313,9343,4.94,900,4,0.30448102951049805,9444,-3.95
0.001,0.99,1952,2.7139499187469482,9361,4.94,904,4,0.27080607414245605,9462,-3.95
0.001,0.99,1956,3.4046077728271484,9380,4.91,908,4,0.21831214427947998,9481,-3.92
0.001,0.99,1961,2.923034191131592,9400,4.94,912,4,0.23321756720542908,9501,-3.95
0.001,0.99,1968,2.694145917892456,9417,4.86,916,4,0.23425036668777466,9518,-3.87
0.001,0.99,1976,3.1829516887664795,9438,4.92,920,4,0.27086591720581055,9539,-3.93
0.001,0.99,1981,2.789029121398926,9452,4.85,924,4,0.33308613300323486,9553,-3.86
0.001,0.99,1987,3.529416799545288,9469,4.85,928,4,0.24571919441223145,9570,-3.86
0.001,0.99,1990,2.7848665714263916,9487,4.9,932,4,0.20592662692070007,9588,-3.91
0.001,0.99,1993,2.4767675399780273,9499,4.86,936,4,0.25180530548095703,9600,-3.87
0.001,0.99,1997,2.999680757522583,9520,4.86,940,4,0.2193337380886078,9621,-3.87
0.001,0.99,2001,2.7658092975616455,9539,4.89,944,4,0.2578935921192169,9640,-3.9
0.001,0.99,2007,2.555723190307617,9562,4.92,948,4,0.22780710458755493,9663,-3.93
0.001,0.99,2014,2.548116445541382,9584,4.96,952,4,0.37169337272644043,9685,-3.97
0.001,0.99,2016,2.641397714614868,9600,4.88,956,4,0.21864058077335358,9701,-3.89
0.001,0.99,2020,2.4522876739501953,9620,4.93,960,4,0.2656598687171936,9721,-3.94
0.001,0.99,2026,2.431673049926758,9635,4.9,964,4,0.26852184534072876,9736,-3.91
0.001,0.99,2034,2.877167224884033,9649,4.92,968,4,0.2497076541185379,9750,-3.93
0.001,1.0,2036,2.9165258407592773,9659,4.37,972,4,0.2983036935329437,9760,-3.37
0.001,1.0,2039,3.0440521240234375,9672,4.33,976,4,0.262351930141449,9773,-3.33
0.001,1.0,2044,2.4501242637634277,9687,4.3,980,4,0.21070042252540588,9788,-3.3
0.001,1.0,2056,2.778395175933838,9710,4.4,984,4,0.2574765384197235,9811,-3.4
0.001,1.0,2061,3.1964385509490967,9725,4.41,988,4,0.2251342236995697,9826,-3.41
0.001,1.0,2069,2.7226665019989014,9743,4.37,992,4,0.1985834836959839,9844,-3.37
0.001,1.0,2074,2.977477550506592,9759,4.39,996,4,0.3290883004665375,9860,-3.39
0.001,1.0,2077,2.860057830810547,9774,4.31,1000,4,0.22549813985824585,9875,-3.31
0.001,1.0,2082,3.204392910003662,9786,4.25,1004,4,0.239129900932312,9887,-3.25
0.001,1.0,2090,2.672043800354004,9801,4.21,1008,4,0.264259397983551,9902,-3.21
0.001,1.0,2093,2.4383952617645264,9817,4.17,1012,4,0.24550214409828186,9918,-3.17
0.001,1.0,2096,2.987905740737915,9832,4.15,1016,4,0.3031294345855713,9933,-3.15
0.001,1.0,2100,2.6633553504943848,9850,4.12,1020,4,0.21828651428222656,9951,-3.12
0.001,1.0,2104,2.7735466957092285,9869,4.17,1024,4,0.21669475734233856,9970,-3.17
0.001,1.0,2109,2.626497507095337,9886,4.17,1028,4,0.261385053396225,9987,-3.17
