rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/episodes,time/fps,time/total_timesteps,train/n_updates,train/critic_loss,train/actor_loss,rollout/success_rate,train/learning_rate
-0.46394408000000004,991,4.58,384,4,4718,4617,0.0017489154124632478,0.39564767479896545,1.0,0.001
-0.4607367,994,4.55,388,4,4736,4635,0.002276850398629904,0.3521364629268646,1.0,0.001
-0.45851424,997,4.54,392,4,4754,4653,0.002094365656375885,0.28295087814331055,1.0,0.001
-0.46063294,1000,4.55,396,4,4771,4670,0.0028694160282611847,0.28747040033340454,1.0,0.001
-0.47290451999999994,1005,4.62,400,4,4797,4696,0.0042817676439881325,0.3303651809692383,1.0,0.001
-0.46817623999999997,1008,4.59,404,4,4810,4709,0.00253584748134017,0.40471330285072327,1.0,0.001
-0.4723817299999999,1010,4.61,408,4,4827,4726,0.002557674190029502,0.3194182217121124,1.0,0.001
-0.4733231900000001,1015,4.61,412,4,4854,4753,0.0032889610156416893,0.3417408764362335,1.0,0.001
-0.47829217000000007,1018,4.61,416,4,4873,4772,0.003217653837054968,0.323839008808136,1.0,0.001
-0.47649299000000006,1021,4.58,420,4,4889,4788,0.0031580491922795773,0.31881392002105713,1.0,0.001
-0.48215737,1026,4.62,424,4,4912,4811,0.0024389526806771755,0.35932624340057373,1.0,0.001
-0.4857265500000001,1028,4.64,428,4,4932,4831,0.002702198224142194,0.3575182855129242,1.0,0.001
-0.4923212800000001,1030,4.69,432,4,4953,4852,0.0038125356659293175,0.3668200969696045,1.0,0.001
-0.49317857000000004,1033,4.7,436,4,4970,4869,0.003669857047498226,0.3518909811973572,1.0,0.001
-0.48094982999999997,1035,4.61,440,4,4985,4884,0.003423950169235468,0.31690651178359985,1.0,0.001
-0.47937466000000006,1037,4.59,444,4,4999,4898,0.0029947166331112385,0.2989991009235382,1.0,0.001
-0.49299766999999994,1042,4.72,448,4,5030,4929,0.0029971119947731495,0.25936901569366455,1.0,0.001
-0.4898491300000001,1044,4.68,452,4,5045,4944,0.0031073037534952164,0.36848944425582886,1.0,0.001
-0.48602302999999997,1046,4.66,456,4,5062,4961,0.0024951836094260216,0.2767312824726105,1.0,0.001
-0.4887374099999999,1048,4.68,460,4,5082,4981,0.0022466881200671196,0.34030887484550476,1.0,0.001
-0.48929125,1051,4.69,464,4,5100,4999,0.00287599372677505,0.3236812353134155,1.0,0.001
-0.4983287200000001,1055,4.75,468,4,5121,5020,0.0037730024196207523,0.3560773432254791,1.0,0.001
-0.49710701999999996,1058,4.73,472,4,5136,5035,0.002638113684952259,0.2837381362915039,1.0,0.001
-0.49299512000000006,1062,4.7,476,4,5153,5052,0.00304923253133893,0.3537237048149109,1.0,0.001
-0.48685783,1064,4.63,480,4,5164,5063,0.0027345125563442707,0.3642616271972656,1.0,0.001
-0.48792628999999993,1068,4.67,484,4,5185,5084,0.0029163388535380363,0.3071329891681671,1.0,0.001
-0.48433274000000004,1072,4.66,488,4,5202,5101,0.002043514745309949,0.3078312277793884,1.0,0.001
-0.48671659999999994,1075,4.7,492,4,5224,5123,0.003173046512529254,0.28912103176116943,1.0,0.001
-0.47858607999999997,1077,4.65,496,4,5236,5135,0.003140449756756425,0.34444254636764526,1.0,0.001
-0.46955942,1081,4.59,500,4,5256,5155,0.002701497171074152,0.3053177297115326,1.0,0.001
-0.47048241,1084,4.61,504,4,5271,5170,0.002568518742918968,0.29444727301597595,1.0,0.001
-0.4695795,1090,4.63,508,4,5290,5189,0.002698657801374793,0.34608525037765503,1.0,0.001
-0.46091919,1095,4.54,512,4,5308,5207,0.0019838642328977585,0.3166664242744446,1.0,0.001
-0.49259656,1110,5.0,516,4,5373,5272,0.0020904368720948696,0.26853886246681213,0.99,0.001
-0.49587337000000004,1115,5.04,520,4,5393,5292,0.00256159994751215,0.2718534469604492,0.99,0.001
-0.50830641,1121,5.13,524,4,5425,5324,0.0020351652055978775,0.2660125494003296,0.99,0.001
-0.49286828,1122,5.02,528,4,5434,5333,0.0019559827633202076,0.2956930994987488,0.99,0.001
-0.49266227,1126,4.99,532,4,5452,5351,0.0018762967083603144,0.32185783982276917,0.99,0.001
-0.5227239300000001,1140,5.46,536,4,5516,5415,0.001970398472622037,0.3269962966442108,0.98,0.001
-0.53248644,1144,5.52,540,4,5537,5436,0.0016385549679398537,0.27522724866867065,0.98,0.001
-0.53132678,1146,5.52,544,4,5551,5450,0.0024617412127554417,0.36529427766799927,0.98,0.001
-0.5133544700000001,1149,5.36,548,4,5566,5465,0.002399072051048279,0.28117844462394714,0.98,0.001
-0.51439342,1152,5.39,552,4,5584,5483,0.002311023185029626,0.2807750999927521,0.98,0.001
-0.5504149300000001,1164,5.88,556,4,5650,5549,0.0028084400109946728,0.3285607695579529,0.97,0.001
-0.55258518,1168,5.91,560,4,5673,5572,0.001810099114663899,0.3600829541683197,0.97,0.001
-0.57318459,1176,6.19,564,4,5719,5618,0.002283533103764057,0.35084590315818787,0.97,0.001
-0.56445558,1177,6.13,568,4,5734,5633,0.001666468451730907,0.3344436287879944,0.97,0.001
-0.57561232,1179,6.16,572,4,5752,5651,0.0023943805135786533,0.21158796548843384,0.97,0.001
-0.5819014100000001,1182,6.23,576,4,5776,5675,0.002412477508187294,0.2456766813993454,0.97,0.001
-0.59193585,1185,6.34,580,4,5798,5697,0.0019419994205236435,0.3109739422798157,0.97,0.001
-0.5889638100000001,1188,6.28,584,4,5813,5712,0.0021807467564940453,0.29862600564956665,0.97,0.001
-0.5878219600000001,1190,6.23,588,4,5825,5724,0.0018075553234666586,0.23584769666194916,0.97,0.001
-0.58034836,1192,6.16,592,4,5840,5739,0.0018266227561980486,0.31262221932411194,0.97,0.001
-0.5940441000000001,1195,6.25,596,4,5861,5760,0.0020464060362428427,0.26046621799468994,0.97,0.001
-0.5857302899999999,1197,6.19,600,4,5875,5774,0.001865656697191298,0.24426640570163727,0.97,0.001
-0.5921189,1200,6.25,604,4,5896,5795,0.0015249545685946941,0.306305468082428,0.97,0.001
-0.5974324299999999,1204,6.27,608,4,5917,5816,0.0020854901522397995,0.28747305274009705,0.97,0.001
-0.6065497,1209,6.32,612,4,5940,5839,0.0019142254022881389,0.2777962386608124,0.97,0.001
-0.56454515,1213,5.8,616,4,5953,5852,0.0023210584186017513,0.234762504696846,0.98,0.001
-0.5646571399999999,1217,5.78,620,4,5971,5870,0.0023504924029111862,0.27514931559562683,0.98,0.001
-0.5501050700000001,1221,5.64,624,4,5989,5888,0.0029328877571970224,0.34292131662368774,0.98,0.001
-0.5585389800000001,1225,5.71,628,4,6005,5904,0.0023100129328668118,0.3064367473125458,0.98,0.001
-0.55511629,1229,5.7,632,4,6022,5921,0.0017823700327426195,0.2823534905910492,0.98,0.001
-0.5261643599999999,1233,5.26,636,4,6042,5941,0.002950171008706093,0.23245957493782043,0.99,0.001
-0.5205799200000001,1237,5.23,640,4,6060,5959,0.0025548962876200676,0.3358944058418274,0.99,0.001
-0.5350281,1242,5.3,644,4,6081,5980,0.0024073817767202854,0.2151343673467636,0.99,0.001
-0.5401153999999999,1246,5.32,648,4,6098,5997,0.0021709816064685583,0.39693722128868103,0.99,0.001
-0.58001495,1263,5.78,652,4,6162,6061,0.003010690677911043,0.332218736410141,0.98,0.001
-0.54250653,1267,5.29,656,4,6179,6078,0.002038087695837021,0.33701348304748535,0.99,0.001
-0.54117518,1272,5.26,660,4,6199,6098,0.001982700312510133,0.27192577719688416,0.99,0.001
-0.5178136199999999,1276,4.96,664,4,6215,6114,0.0021148924715816975,0.25711071491241455,0.99,0.001
-0.5200140799999999,1282,4.99,668,4,6233,6132,0.00240521808154881,0.33758145570755005,0.99,0.001
-0.51618781,1287,5.0,672,4,6252,6151,0.0019196568755432963,0.27857717871665955,0.99,0.001
-0.5113636899999999,1290,4.94,676,4,6270,6169,0.0023349630646407604,0.24978221952915192,0.99,0.001
-0.50542228,1293,4.87,680,4,6285,6184,0.002107399981468916,0.26138871908187866,0.99,0.001
-0.50156799,1296,4.86,684,4,6299,6198,0.001951536862179637,0.2537575662136078,0.99,0.001
-0.50298493,1299,4.88,688,4,6313,6212,0.0024179304018616676,0.28241270780563354,0.99,0.001
-0.50709147,1305,4.91,692,4,6331,6230,0.0013769447105005383,0.18523383140563965,0.99,0.001
-0.50403101,1309,4.9,696,4,6351,6250,0.002004826907068491,0.22675155103206635,0.99,0.001
-0.51349365,1314,4.95,700,4,6370,6269,0.002265786752104759,0.2376345992088318,0.99,0.001
-0.50883775,1316,4.88,704,4,6384,6283,0.0022332086227834225,0.26165130734443665,0.99,0.001
-0.5014669900000001,1319,4.83,708,4,6400,6299,0.0017300972249358892,0.2610912024974823,0.99,0.001
-0.47866731,1321,4.68,712,4,6408,6307,0.0022983765229582787,0.2388674020767212,0.99,0.001
-0.48038689000000007,1325,4.7,716,4,6423,6322,0.0019874279387295246,0.27321070432662964,0.99,0.001
-0.48974126999999995,1329,4.73,720,4,6444,6343,0.0026234278921037912,0.2618557810783386,0.99,0.001
-0.4827359800000001,1332,4.71,724,4,6460,6359,0.0027966350317001343,0.2594126760959625,0.99,0.001
-0.4872327,1335,4.73,728,4,6478,6377,0.0017175076063722372,0.24326013028621674,0.99,0.001
-0.48176258,1338,4.7,732,4,6492,6391,0.0018884162418544292,0.269156277179718,0.99,0.001
-0.47543838000000016,1341,4.65,736,4,6507,6406,0.0026968191377818584,0.3404529094696045,0.99,0.001
-0.47773904,1345,4.67,740,4,6527,6426,0.0015689919237047434,0.22132399678230286,0.99,0.001
-0.47043645000000006,1348,4.65,744,4,6546,6445,0.001777186058461666,0.22708094120025635,0.99,0.001
-0.5055781500000001,1366,5.12,748,4,6610,6509,0.0020214756950736046,0.22256983816623688,0.98,0.001
-0.4741945299999999,1372,4.72,752,4,6634,6533,0.001811291091144085,0.264862060546875,0.99,0.001
-0.4696631599999999,1374,4.67,756,4,6646,6545,0.0025323829613626003,0.2477283924818039,0.99,0.001
-0.46010642999999996,1376,4.62,760,4,6661,6560,0.0016955221071839333,0.20100617408752441,0.99,0.001
-0.46515702999999997,1379,4.64,764,4,6679,6578,0.0021496282424777746,0.3044598400592804,0.99,0.001
-0.47038383000000006,1384,4.65,768,4,6698,6597,0.002252788282930851,0.2124433070421219,0.99,0.001
-0.47538057999999994,1390,4.69,772,4,6721,6620,0.001784615102224052,0.26021844148635864,0.99,0.001
-0.4715410599999999,1396,4.68,776,4,6738,6637,0.001981548499315977,0.3193172216415405,0.99,0.001
-0.48486361,1403,4.76,780,4,6761,6660,0.0025720009580254555,0.3191400468349457,0.99,0.001
-0.50256125,1409,4.85,784,4,6784,6683,0.00195614667609334,0.27176666259765625,0.99,0.001
-0.50577765,1413,4.88,788,4,6801,6700,0.0017138478578999639,0.22092731297016144,0.99,0.001
-0.51085874,1418,4.89,792,4,6820,6719,0.0021238813642412424,0.29225289821624756,0.99,0.001
-0.50991686,1421,4.87,796,4,6838,6737,0.0016633428167551756,0.29006072878837585,0.99,0.001
-0.5098349799999999,1424,4.87,800,4,6857,6756,0.0015757535584270954,0.3159688115119934,0.99,0.001
-0.50940298,1427,4.89,804,4,6873,6772,0.0018387946765869856,0.3430402874946594,0.99,0.001
-0.52056505,1437,4.98,808,4,6898,6797,0.0014738264726474881,0.25032687187194824,0.99,0.001
-0.53141511,1443,5.07,812,4,6915,6814,0.0018289953004568815,0.2638569474220276,0.99,0.001
-0.5271159200000001,1448,5.05,816,4,6928,6827,0.0016069374978542328,0.28273361921310425,0.99,0.001
-0.52204532,1453,5.04,820,4,6948,6847,0.0016082165529951453,0.3562714457511902,0.99,0.001
-0.52732262,1457,5.06,824,4,6966,6865,0.0015980317257344723,0.3105107545852661,0.99,0.001
-0.52602543,1461,5.05,828,4,6983,6882,0.0023028510622680187,0.24496130645275116,0.99,0.001
-0.53323199,1464,5.11,832,4,7003,6902,0.002534851897507906,0.25439199805259705,0.99,0.001
-0.5364742200000001,1470,5.14,836,4,7021,6920,0.003355639986693859,0.23906652629375458,0.99,0.001
-0.5222535199999999,1472,5.02,840,4,7029,6928,0.002327084308490157,0.2564733624458313,0.99,0.001
-0.5135744,1475,4.97,844,4,7043,6942,0.0025079436600208282,0.28154757618904114,0.99,0.001
-0.48052634,1480,4.52,848,4,7062,6961,0.002181421034038067,0.29005903005599976,1.0,0.001
-0.4673839600000001,1484,4.42,852,4,7076,6975,0.003197628306224942,0.18864718079566956,1.0,0.001
-0.46993581999999995,1487,4.46,856,4,7092,6991,0.0018267680425196886,0.26702356338500977,1.0,0.001
-0.46791383000000003,1490,4.45,860,4,7106,7005,0.0025084346998482943,0.33160459995269775,1.0,0.001
-0.4686304799999999,1493,4.47,864,4,7126,7025,0.00241556903347373,0.2732491195201874,1.0,0.001
-0.44968930999999995,1494,4.35,868,4,7133,7032,0.0021080910228192806,0.21007829904556274,1.0,0.001
