rollout/success_rate,train/actor_loss,time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/n_updates,train/critic_loss,rollout/ep_len_mean,train/learning_rate,time/fps,time/time_elapsed
0.99,0.8051957488059998,6123,-3.73,524,6022,0.06081661954522133,4.72,0.001,7,782
0.99,0.646045446395874,6155,-3.89,528,6054,0.06155317276716232,4.88,0.001,7,788
0.99,0.785841703414917,6166,-3.83,532,6065,0.09294590353965759,4.82,0.001,7,790
0.99,0.7503454089164734,6182,-3.81,536,6081,0.07269368320703506,4.8,0.001,7,793
0.99,0.7567064166069031,6199,-3.81,540,6098,0.0591563954949379,4.8,0.001,7,796
0.99,0.6884689331054688,6215,-3.78,544,6114,0.07576985657215118,4.77,0.001,7,798
0.99,0.8625711798667908,6231,-3.74,548,6130,0.07446106523275375,4.73,0.001,7,801
0.99,0.6235976815223694,6247,-3.75,552,6146,0.08521535247564316,4.74,0.001,7,804
0.99,0.796242356300354,6265,-3.83,556,6164,0.06823569536209106,4.82,0.001,7,808
0.99,0.8488048315048218,6284,-3.83,560,6183,0.07217248529195786,4.82,0.001,7,810
0.99,0.595629096031189,6298,-3.87,564,6197,0.07818808406591415,4.86,0.001,7,813
0.99,0.8869534134864807,6314,-3.9,568,6213,0.07470699399709702,4.89,0.001,7,817
0.99,0.4276122748851776,6332,-3.96,572,6231,0.07966482639312744,4.95,0.001,7,820
0.99,0.6245545148849487,6346,-3.94,576,6245,0.09886495769023895,4.93,0.001,7,822
0.99,0.627659261226654,6369,-3.99,580,6268,0.076028011739254,4.98,0.001,7,826
0.99,0.8395597338676453,6398,-4.11,584,6297,0.0573771633207798,5.1,0.001,7,830
0.99,0.7960427403450012,6416,-4.09,588,6315,0.054394982755184174,5.08,0.001,7,833
0.99,0.5435143709182739,6429,-3.99,592,6328,0.060822390019893646,4.98,0.001,7,835
0.99,0.98014235496521,6448,-4.03,596,6347,0.065376415848732,5.02,0.001,7,839
0.99,0.825629472732544,6467,-4.09,600,6366,0.10571563243865967,5.08,0.001,7,842
0.99,0.7877293229103088,6483,-4.06,604,6382,0.05794316530227661,5.05,0.001,7,845
1.0,0.39272868633270264,6500,-3.58,608,6399,0.08195340633392334,4.58,0.001,7,850
1.0,0.7011972665786743,6516,-3.55,612,6415,0.0935240387916565,4.55,0.001,7,855
1.0,0.5972082018852234,6536,-3.58,616,6435,0.0691278874874115,4.58,0.001,7,862
1.0,0.50511634349823,6555,-3.57,620,6454,0.0737881287932396,4.57,0.001,7,868
1.0,0.8313046097755432,6571,-3.48,624,6470,0.05922892689704895,4.48,0.001,7,872
1.0,0.669410765171051,6586,-3.31,628,6485,0.05745100602507591,4.31,0.001,7,875
1.0,0.5328876972198486,6602,-3.36,632,6501,0.08942941576242447,4.36,0.001,7,878
1.0,0.6082241535186768,6615,-3.33,636,6514,0.07702211290597916,4.33,0.001,7,882
1.0,0.5629736185073853,6625,-3.26,640,6524,0.0715661346912384,4.26,0.001,7,884
1.0,0.6694562435150146,6641,-3.26,644,6540,0.09169524908065796,4.26,0.001,7,888
1.0,0.6844963431358337,6659,-3.28,648,6558,0.07240131497383118,4.28,0.001,7,893
1.0,0.5885446071624756,6684,-3.37,652,6583,0.0694279819726944,4.37,0.001,7,902
1.0,0.47517651319503784,6704,-3.39,656,6603,0.06459637731313705,4.39,0.001,7,906
1.0,0.5789501667022705,6718,-3.34,660,6617,0.0662267878651619,4.34,0.001,7,911
1.0,0.5832849740982056,6729,-3.31,664,6628,0.07488347589969635,4.31,0.001,7,913
