train/learning_rate,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean,train/ent_coef_loss,train/n_updates,time/fps,train/actor_loss,time/episodes,train/ent_coef,rollout/success_rate
0.0003,1238,9928,10.49,0.34473592042922974,-9.58,-4.197701930999756,9827,8,0.48329076170921326,444,0.06761479377746582,0.91
0.0003,1241,9964,10.52,0.2342660129070282,-9.61,-4.309256553649902,9863,8,0.39635878801345825,448,0.06708776205778122,0.91
0.0003,1253,10079,11.19,0.25269216299057007,-10.3,-3.956573963165283,9978,8,-0.09821323305368423,452,0.06542093306779861,0.89
0.0003,1255,10104,11.14,0.21244317293167114,-10.25,-3.8985791206359863,10003,8,0.3055022358894348,456,0.06507968157529831,0.89
0.0003,1259,10174,11.56,0.19488632678985596,-10.68,-4.744503021240234,10073,8,-0.1677110493183136,460,0.06409784406423569,0.88
0.0003,1260,10191,11.49,0.32133346796035767,-10.61,-4.816699028015137,10090,8,0.6915963292121887,464,0.06386343389749527,0.88
0.0003,1262,10224,11.59,0.33308422565460205,-10.71,-3.9186201095581055,10123,8,0.3220003843307495,468,0.06338601559400558,0.88
0.0003,1264,10254,11.26,0.2633679211139679,-10.37,-4.023209571838379,10153,8,0.2836071848869324,472,0.06298159062862396,0.89
0.0003,1269,10325,11.71,0.22772547602653503,-10.83,-4.3576860427856445,10224,8,0.6790950298309326,476,0.06204235553741455,0.88
0.0003,1274,10391,12.12,0.33994561433792114,-11.25,-4.422882556915283,10290,8,0.6888816952705383,480,0.06118321791291237,0.87
0.0003,1275,10410,12.01,0.22076161205768585,-11.14,-4.318496227264404,10309,8,0.16858726739883423,484,0.06094576045870781,0.87
0.0003,1277,10436,11.57,0.21680651605129242,-10.69,-3.56382417678833,10335,8,0.28588613867759705,488,0.0606064610183239,0.88
0.0003,1279,10461,11.14,0.2563652992248535,-10.25,-3.2680037021636963,10360,8,0.44891881942749023,492,0.06029064953327179,0.89
0.0003,1281,10482,11.09,0.29528239369392395,-10.2,-3.9366960525512695,10381,8,0.31004002690315247,496,0.06003900617361069,0.89
0.0003,1282,10505,11.0,0.29752886295318604,-10.11,-3.7074294090270996,10404,8,-0.17169338464736938,500,0.059768885374069214,0.89
0.0003,1283,10524,10.47,0.33408308029174805,-9.57,-3.6170308589935303,10423,8,0.44509223103523254,504,0.05953839793801308,0.9
0.0003,1285,10547,10.02,0.2573213577270508,-9.11,-4.115736961364746,10446,8,0.6655314564704895,508,0.05927468463778496,0.91
0.0003,1289,10611,10.01,0.22205038368701935,-9.1,-3.1664321422576904,10510,8,0.6935599446296692,512,0.058503225445747375,0.91
0.0003,1291,10630,9.97,0.3177260756492615,-9.06,-4.209168434143066,10529,8,0.6763794422149658,516,0.05828848481178284,0.91
0.0003,1292,10648,9.56,0.21334680914878845,-8.64,-4.021425247192383,10547,8,-0.05581756681203842,520,0.058077480643987656,0.92
0.0003,1297,10723,10.09,0.21155117452144623,-9.18,-3.1304566860198975,10622,8,1.0671569108963013,524,0.05719105899333954,0.91
0.0003,1299,10748,9.68,0.17107068002223969,-8.76,-2.840782642364502,10647,8,1.1365604400634766,528,0.056900832802057266,0.92
0.0003,1301,10779,9.77,0.2873139977455139,-8.85,-3.488098382949829,10678,8,0.10116854310035706,532,0.0565439835190773,0.92
0.0003,1303,10808,9.7,0.23345905542373657,-8.78,-3.4092650413513184,10707,8,0.4015592932701111,536,0.05621417611837387,0.92
0.0003,1304,10823,9.16,0.22517189383506775,-8.23,-3.8843576908111572,10722,8,0.49697595834732056,540,0.05604076385498047,0.93
0.0003,1306,10846,9.18,0.2192004919052124,-8.25,-3.4093289375305176,10745,8,0.5034114718437195,544,0.055770132690668106,0.93
0.0003,1308,10883,9.19,0.3149893879890442,-8.26,-3.6486892700195312,10782,8,0.0460231676697731,548,0.055346641689538956,0.93
0.0003,1309,10897,8.18,0.25421038269996643,-7.23,-3.3899762630462646,10796,8,0.37561097741127014,552,0.05520378425717354,0.95
0.0003,1311,10923,8.19,0.2882009446620941,-7.24,-3.440418243408203,10822,8,0.6902015805244446,556,0.05492487549781799,0.95
0.0003,1313,10944,7.7,0.2655603587627411,-6.74,-3.4353444576263428,10843,8,0.5670075416564941,560,0.054702695459127426,0.96
0.0003,1314,10966,7.75,0.2421446144580841,-6.79,-3.695740222930908,10865,8,0.39494678378105164,564,0.05447506159543991,0.96
0.0003,1316,10994,7.7,0.256614089012146,-6.74,-3.1772468090057373,10893,8,0.38047558069229126,568,0.05416819453239441,0.96
0.0003,1318,11017,7.63,0.37605324387550354,-6.67,-2.8047451972961426,10916,8,0.9679577946662903,572,0.053938429802656174,0.96
0.0003,1319,11042,7.17,0.25969716906547546,-6.2,-2.7354514598846436,10941,8,0.5967342853546143,576,0.05366950482130051,0.97
0.0003,1321,11059,6.68,0.3426283597946167,-5.7,-3.2119219303131104,10958,8,-0.15421247482299805,580,0.0534956119954586,0.98
0.0003,1324,11110,7.0,0.23733361065387726,-6.02,-3.156555652618408,11009,8,0.24745863676071167,584,0.052969735115766525,0.98
0.0003,1326,11134,6.98,0.47249871492385864,-6.0,-3.35833740234375,11033,8,0.30305778980255127,588,0.0527203232049942,0.98
0.0003,1327,11160,6.99,0.2924715280532837,-6.01,-2.730168342590332,11059,8,-0.3964918851852417,592,0.05246221274137497,0.98
0.0003,1329,11182,7.0,0.20959146320819855,-6.02,-3.065795660018921,11081,8,0.42825621366500854,596,0.05225494131445885,0.98
0.0003,1330,11199,6.94,0.29209762811660767,-5.96,-3.6166837215423584,11098,8,-0.16875794529914856,600,0.0520942360162735,0.98
0.0003,1337,11269,7.45,0.352572500705719,-6.48,-4.032742500305176,11168,8,-0.05333682894706726,604,0.05141580477356911,0.97
0.0003,1344,11339,7.92,0.27528834342956543,-6.96,-3.006474494934082,11238,8,0.40924426913261414,608,0.05074043571949005,0.96
0.0003,1346,11360,7.49,0.22117996215820312,-6.52,-3.047658920288086,11259,8,0.2720300853252411,612,0.0505484864115715,0.97
0.0003,1347,11378,7.48,0.23770803213119507,-6.51,-3.13625431060791,11277,8,-0.23201172053813934,616,0.050380535423755646,0.97
0.0003,1349,11409,7.61,0.2905598282814026,-6.64,-2.685817241668701,11308,8,0.8509914875030518,620,0.05008264258503914,0.97
0.0003,1351,11432,7.09,0.2640993297100067,-6.11,-2.331681251525879,11331,8,0.8244537115097046,624,0.049869004637002945,0.98
0.0003,1356,11499,7.51,0.2746264934539795,-6.54,-2.5841774940490723,11398,8,1.024553894996643,628,0.049243003129959106,0.97
0.0003,1358,11522,7.43,0.5949834585189819,-6.46,-3.09786319732666,11421,8,0.376902312040329,632,0.0490151084959507,0.97
0.0003,1362,11591,7.83,0.34745702147483826,-6.87,-2.979109764099121,11490,8,0.5752506852149963,636,0.04835506156086922,0.96
0.0003,1369,11659,8.36,0.37120717763900757,-7.41,-2.5400989055633545,11558,8,0.3053591549396515,640,0.04773538559675217,0.95
0.0003,1377,11732,8.86,0.2872258126735687,-7.92,-3.2216241359710693,11631,8,-0.2109159678220749,644,0.0470816045999527,0.94
0.0003,1382,11771,8.88,0.2645109295845032,-7.94,-2.8442165851593018,11670,8,0.38573095202445984,648,0.04674642160534859,0.94
0.0003,1384,11796,8.99,0.2894442677497864,-8.05,-1.5709255933761597,11695,8,0.7552083730697632,652,0.04652533307671547,0.94
0.0003,1387,11824,9.01,0.35271841287612915,-8.07,-2.631279230117798,11723,8,0.9741276502609253,656,0.046290721744298935,0.94
0.0003,1391,11853,9.09,0.4407914876937866,-8.15,-1.88631010055542,11752,8,0.19606178998947144,660,0.04603378847241402,0.94
0.0003,1393,11869,9.03,0.25988566875457764,-8.09,-2.3600289821624756,11768,8,0.5558663606643677,664,0.04590710997581482,0.94
0.0003,1397,11894,9.0,0.3190467953681946,-8.06,-1.8812649250030518,11793,8,0.31575721502304077,668,0.04568576440215111,0.94
0.0003,1399,11910,8.93,0.266136109828949,-7.99,-2.7164602279663086,11809,8,0.699211061000824,672,0.0455578938126564,0.94
0.0003,1402,11931,8.89,0.31796860694885254,-7.95,-2.590949296951294,11830,8,1.1763039827346802,676,0.04537931829690933,0.94
0.0003,1404,11949,8.9,0.32166069746017456,-7.96,-2.668633460998535,11848,8,0.4741988480091095,680,0.04521668329834938,0.94
0.0003,1406,11973,8.63,0.23223644495010376,-7.69,-2.2220983505249023,11872,8,0.14732566475868225,684,0.04500928148627281,0.94
0.0003,1409,11995,8.61,0.19754955172538757,-7.67,-1.905035138130188,11894,8,0.7604465484619141,688,0.04483190178871155,0.94
0.0003,1415,12056,8.96,0.23476016521453857,-8.03,-1.3208140134811401,11955,8,0.1697503924369812,692,0.044342346489429474,0.93
0.0003,1417,12082,9.0,0.2233964502811432,-8.07,-2.4758360385894775,11981,8,0.3870934844017029,696,0.04415803775191307,0.93
0.0003,1423,12151,9.52,0.2423514574766159,-8.6,-2.3028881549835205,12050,8,0.8496204018592834,700,0.04359100013971329,0.92
0.0003,1428,12216,9.47,0.20824669301509857,-8.55,-1.8159122467041016,12115,8,0.1987401396036148,704,0.043083131313323975,0.92
0.0003,1434,12285,9.46,0.3223080635070801,-8.54,-2.036343574523926,12184,8,0.5250924825668335,708,0.042564764618873596,0.92
0.0003,1436,12309,9.49,0.25141891837120056,-8.57,-2.1354546546936035,12208,8,0.2436199188232422,712,0.04238917678594589,0.92
0.0003,1442,12383,10.05,0.22608530521392822,-9.14,-2.1121010780334473,12282,8,0.5886592268943787,716,0.041832417249679565,0.91
0.0003,1452,12447,10.38,0.20472252368927002,-9.48,-2.6331686973571777,12346,8,0.8786866664886475,720,0.041352853178977966,0.9
0.0003,1457,12472,10.4,0.3409556746482849,-9.5,-1.6082996129989624,12371,8,0.1961958110332489,724,0.04117509722709656,0.9
0.0003,1467,12546,10.47,0.2617255747318268,-9.57,-2.1852307319641113,12445,8,0.861993670463562,728,0.040646299719810486,0.9
0.0003,1472,12570,10.48,0.28636372089385986,-9.58,-1.6884229183197021,12469,8,0.7852546572685242,732,0.04047552868723869,0.9
0.0003,1482,12636,10.45,0.28891757130622864,-9.55,-2.0609290599823,12535,8,0.7973358631134033,736,0.040019258856773376,0.9
0.0003,1487,12688,10.29,0.41940659284591675,-9.38,-2.0757274627685547,12587,8,0.21147239208221436,740,0.039658863097429276,0.91
0.0003,1489,12709,9.77,0.3760411739349365,-8.85,-1.6483772993087769,12608,8,1.0774868726730347,744,0.039499491453170776,0.92
0.0003,1492,12731,9.6,0.6901525259017944,-8.68,-1.1743453741073608,12630,8,0.1951150894165039,748,0.03934238478541374,0.92
0.0003,1493,12749,9.53,0.25253158807754517,-8.61,-2.2176218032836914,12648,8,1.114750623703003,752,0.03922221437096596,0.92
0.0003,1499,12813,9.89,0.24794405698776245,-8.98,-3.3973312377929688,12712,8,0.5716583132743835,756,0.03880128636956215,0.91
0.0003,1501,12837,9.84,0.2777975797653198,-8.93,-1.9146779775619507,12736,8,1.025267243385315,760,0.038628943264484406,0.91
0.0003,1503,12860,9.91,0.2923837900161743,-9.0,-2.0443334579467773,12759,8,0.7114297151565552,764,0.03846452385187149,0.91
0.0003,1506,12892,9.98,0.2743375897407532,-9.07,-2.4880452156066895,12791,8,0.3424273133277893,768,0.038263507187366486,0.91
0.0003,1507,12903,9.93,0.2448720633983612,-9.02,-0.684138298034668,12802,8,0.6165492534637451,772,0.03818485885858536,0.91
0.0003,1513,12972,10.41,0.2639540433883667,-9.51,-1.3305577039718628,12871,8,1.0845584869384766,776,0.03773844242095947,0.9
