time/total_timesteps,train/n_updates,rollout/success_rate,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,train/critic_loss,time/episodes,train/learning_rate,time/time_elapsed
4552,4451,1.0,6,-0.45501932000000006,4.62,0.15284693241119385,0.00033918643021024764,532,0.001,750
4575,4474,1.0,6,-0.47350786,4.75,0.15148526430130005,0.0004202374257147312,536,0.001,753
4593,4492,1.0,6,-0.4687630599999999,4.73,0.12923316657543182,0.00034663602127693594,540,0.001,755
4612,4511,1.0,6,-0.47209360000000006,4.75,0.2547460198402405,0.0003477617574390024,544,0.001,761
4625,4524,1.0,6,-0.46685887000000004,4.67,0.12713420391082764,0.0002184328914154321,548,0.001,763
4639,4538,1.0,6,-0.4599602399999999,4.61,0.19622111320495605,0.0005653806729242206,552,0.001,766
4654,4553,1.0,6,-0.46205458999999993,4.63,0.15162654221057892,0.0002357849880354479,556,0.001,769
4671,4570,1.0,6,-0.4690877499999999,4.67,0.1441015899181366,0.0002090373309329152,560,0.001,772
4685,4584,1.0,6,-0.46212043999999997,4.59,0.1382584571838379,0.0002724369696807116,564,0.001,773
4701,4600,1.0,6,-0.45119071000000005,4.49,0.1284579038619995,0.0001859699550550431,568,0.001,775
4721,4620,1.0,6,-0.46088204999999993,4.55,0.16636566817760468,0.0002999850839842111,572,0.001,778
4737,4636,1.0,6,-0.45672110000000005,4.54,0.16985595226287842,0.0004225827578920871,576,0.001,781
4754,4653,1.0,6,-0.46231627,4.58,0.22385016083717346,0.0003257922944612801,580,0.001,784
4767,4666,1.0,6,-0.4547544500000001,4.49,0.17467382550239563,0.000321601633913815,584,0.001,786
4785,4684,1.0,6,-0.44931992,4.44,0.15175139904022217,0.00037688863812945783,588,0.001,789
4802,4701,1.0,6,-0.4431992999999999,4.36,0.1451427936553955,0.0002713438880164176,592,0.001,792
4817,4716,1.0,6,-0.44332063000000005,4.35,0.1768304407596588,0.00034959480399265885,596,0.001,793
4836,4735,1.0,6,-0.44888208000000007,4.38,0.12737137079238892,0.00020760078041348606,600,0.001,796
4856,4755,1.0,6,-0.4533092000000001,4.42,0.16428722441196442,0.00033142423490062356,604,0.001,799
4875,4774,1.0,6,-0.46116413999999994,4.43,0.16399461030960083,0.0002461292897351086,608,0.001,801
4897,4796,1.0,6,-0.46895461,4.5,0.18546243011951447,0.0002542868023738265,612,0.001,805
4915,4814,1.0,6,-0.48073595,4.57,0.12898845970630646,0.00029687085771001875,616,0.001,808
4930,4829,1.0,6,-0.47266224,4.49,0.133785218000412,0.00045556420809589326,620,0.001,809
4945,4844,1.0,6,-0.46789544,4.45,0.15029586851596832,0.0003334693028591573,624,0.001,811
4968,4867,1.0,6,-0.4651012000000001,4.35,0.1560329645872116,0.0003724067937582731,628,0.001,814
4984,4883,1.0,6,-0.4613512900000001,4.32,0.14118194580078125,0.00036952068330720067,632,0.001,816
5000,4899,1.0,6,-0.45075955,4.25,0.15793506801128387,0.00033684130175970495,636,0.001,817
5018,4917,1.0,6,-0.4527756599999999,4.25,0.13872097432613373,0.00025791418738663197,640,0.001,820
5032,4931,1.0,6,-0.4444349,4.2,0.15684157609939575,0.0003480927844066173,644,0.001,822
5045,4944,1.0,6,-0.4400548000000001,4.2,0.19996432960033417,0.00036146200727671385,648,0.001,824
5063,4962,1.0,6,-0.44357228,4.24,0.13850460946559906,0.0002101179416058585,652,0.001,826
5083,4982,1.0,6,-0.45214648999999985,4.29,0.12604543566703796,0.00023120379773899913,656,0.001,829
5100,4999,1.0,6,-0.45262905,4.29,0.16859114170074463,0.0003186046378687024,660,0.001,830
5122,5021,1.0,6,-0.46177882000000003,4.37,0.1523856669664383,0.00018177906167693436,664,0.001,833
5139,5038,1.0,6,-0.4607162900000001,4.38,0.17971178889274597,0.00021216765162535012,668,0.001,835
5157,5056,1.0,6,-0.46043984000000004,4.36,0.10993780195713043,0.00019897313904948533,672,0.001,837
5173,5072,1.0,6,-0.46273182999999996,4.36,0.15122972428798676,0.00026178278494626284,676,0.001,840
5190,5089,1.0,6,-0.46414100999999996,4.36,0.20502029359340668,0.0002707779058255255,680,0.001,842
5207,5106,1.0,6,-0.46842106,4.4,0.16660873591899872,0.0002929345646407455,684,0.001,844
5226,5125,1.0,6,-0.47021982000000007,4.41,0.19653868675231934,0.00030932881054468453,688,0.001,847
5241,5140,1.0,6,-0.4671616500000001,4.39,0.13613569736480713,0.00037539712502621114,692,0.001,848
5261,5160,1.0,6,-0.47704689,4.44,0.18410004675388336,0.0005831538001075387,696,0.001,851
5279,5178,1.0,6,-0.4788261000000001,4.43,0.1544124186038971,0.0003180133062414825,700,0.001,854
5298,5197,1.0,6,-0.47748214000000005,4.42,0.13719844818115234,0.00028190272860229015,704,0.001,856
5318,5217,1.0,6,-0.47678861999999994,4.43,0.15375497937202454,0.0004850266268476844,708,0.001,859
